"Easting","Elevation","Vein_Width"
1503,6650,10.0251637376876
1505,6650,10.0223410516397
1509,6650,10.0166956795439
1510,6650,10.0152843365199
1515,6650,10.0082276214002
1519,6650,10.0025822493044
1523,6650,9.99693687720861
1525,6650,9.99411419116075
1531,6650,9.98564613301704
1533,6650,9.98282344696912
1535,6650,9.98000076092126
1540,6650,9.97294404580151
1543,6650,9.96871001672969
1544,6650,9.96729867370573
1548,6650,9.96165330160994
1550,6650,9.95883061556202
1551,6650,9.95741927253806
1555,6650,9.95177390044228
1558,6650,9.94753987137045
1561,6650,9.94330584229863
1566,6650,9.93624912717888
1568,6650,9.93342644113096
1573,6650,9.92636972601122
1578,6650,9.91931301089147
1582,6650,9.91366763879569
1585,6650,9.90943360972386
1589,6650,9.90378823762808
1597,6650,9.89249749343645
1600,6650,9.88826346436463
1608,6650,9.87697272017306
1613,6650,9.86991600505331
1618,6650,9.86285928993357
1624,6650,9.85439123178986
1625,6650,9.8529798887659
1626,6650,9.851568545742
1633,6650,9.84168914457433
1635,6650,9.83886645852647
1637,6650,9.83604377247855
1643,6650,9.82757571433484
1645,6650,9.82475302828698
1652,6650,9.81487362711931
1656,6650,9.80922825502353
1664,6650,9.79793751083196
1665,6650,9.796526167808
1666,6650,9.79511482478404
1668,6650,9.79229213873617
1671,6650,9.78805810966429
1675,6650,9.78241273756851
1678,6650,9.77817870849668
1684,6650,9.76971065035298
1685,6650,9.76829930732902
1687,6650,9.76547662128115
1688,6650,9.76406527825719
1693,6650,9.75700856313745
1695,6650,9.75418587708953
1697,6650,9.75136319104166
1704,6650,9.741483789874
1705,6650,9.74007244685009
1707,6650,9.73724976080217
1711,6650,9.73160438870639
1716,6650,9.72454767358664
1717,6650,9.72313633056268
1725,6650,9.71184558637111
1727,6650,9.70902290032319
1733,6650,9.70055484217954
1735,6650,9.69773215613162
1736,6650,9.69632081310766
1740,6650,9.69067544101188
1743,6650,9.68644141194005
1744,6650,9.68503006891609
1750,6650,9.67656201077239
1753,6650,9.67232798170056
1754,6650,9.6709166386766
1757,6650,9.66668260960478
1761,6650,9.66103723750899
1762,6650,9.65962589448503
1766,6650,9.65398052238925
1767,6650,9.65256917936529
1768,6650,9.65115783634133
1774,6650,9.64268977819768
1775,6650,9.64127843517372
1783,6650,9.62998769098215
1784,6650,9.62857634795819
1789,6650,9.62151963283844
1793,6650,9.61587426074266
1797,6650,9.61022888864687
1803,6650,9.60176083050317
1805,6650,9.59893814445525
1812,6650,9.58905874328764
1813,6650,9.58764740026368
1816,6650,9.58341337119185
1821,6650,9.57635665607211
1825,6650,9.57071128397632
1828,6650,9.56647725490444
1835,6650,9.55659785373683
1837,6650,9.55377516768891
1843,6650,9.54530710954521
1845,6650,9.54248442349734
1848,6650,9.53825039442552
1853,6650,9.53119367930577
1858,6650,9.52413696418603
1864,6650,9.51566890604232
1865,6650,9.51425756301836
1874,6650,9.50155547580283
1875,6650,9.50014413277887
1877,6650,9.49732144673101
1885,6650,9.48603070253944
1887,6650,9.48320801649152
1890,6650,9.47897398741969
1893,6650,9.47473995834781
1897,6650,9.46909458625203
1903,6650,9.46062652810832
1905,6650,9.45780384206046
1911,6650,9.44933578391675
1915,6650,9.44369041182097
1917,6650,9.44086772577305
1920,6650,9.43663369670122
1926,6650,9.42816563855752
1927,6650,9.42675429553361
1930,6650,9.42252026646173
1935,6650,9.41546355134199
1937,6650,9.41264086529412
1941,6650,9.40699549319834
1945,6650,9.40135012110255
1946,6650,9.39993877807859
1950,6650,9.39429340598281
1951,6650,9.39288206295885
1955,6650,9.38723669086306
1957,6650,9.38441400481514
1960,6650,9.38017997574332
1962,6650,9.3773572896954
1963,6650,9.37594594667144
1969,6650,9.36747788852779
1970,6650,9.36606654550383
1974,6650,9.36042117340804
1977,6650,9.35618714433616
1980,6650,9.35195311526434
1985,6650,9.34489640014459
1986,6650,9.34348505712063
1990,6650,9.33783968502485
1995,6650,9.3307829699051
1996,6650,9.3293716268812
2005,6650,9.31666953966567
2010,6650,9.30961282454592
2015,6650,9.30255610942618
2020,6650,9.29549939430643
2025,6650,9.28844267918669
2027,6650,9.28561999313877
2029,6650,9.2827973070909
2030,6650,9.28138596406694
2035,6650,9.2743292489472
2037,6650,9.27150656289928
2040,6650,9.26727253382745
2041,6650,9.26586119080349
2046,6650,9.25880447568375
2049,6650,9.25457044661192
2050,6650,9.25315910358796
2053,6650,9.24892507451614
2055,6650,9.24610238846822
2059,6650,9.24045701637243
2060,6650,9.23904567334847
2065,6650,9.23198895822873
2070,6650,9.22493224310904
2071,6650,9.22352090008508
2075,6650,9.21787552798929
2079,6650,9.21223015589351
2080,6650,9.21081881286955
2085,6650,9.2037620977498
2090,6650,9.19670538263006
2091,6650,9.1952940396061
2094,6650,9.19106001053427
2095,6650,9.18964866751031
2100,6650,9.18259195239057
2105,6650,9.17553523727082
2110,6650,9.16847852215108
2111,6650,9.16706717912712
2115,6650,9.16142180703133
2120,6650,9.15436509191159
2123,6650,9.15013106283976
2125,6650,9.14730837679184
2126,6650,9.14589703376794
2132,6650,9.13742897562423
2133,6650,9.13601763260027
